timestamp,cycle_sec,timestep,Speed (mph),accel_meter_ps
3/21/2006 6:09,11.07,1,9.98,0
3/21/2006 6:09,11.07,1,9.88,-0.1
3/21/2006 6:09,11.07,1,9.77,-0.11
3/21/2006 6:09,11.07,1,9.67,-0.1
3/21/2006 6:09,11.07,1,9.56,-0.11
3/21/2006 6:09,11.07,1,9.46,-0.1
3/21/2006 6:09,11.07,1,9.35,-0.11
3/21/2006 6:09,11.07,1,9.25,-0.1
3/21/2006 6:09,11.07,1,9.14,-0.11
3/21/2006 6:09,11.07,1,9.04,-0.1
3/21/2006 6:09,11.07,1,8.93,-0.11
3/21/2006 6:09,11.07,1,8.83,-0.1
3/21/2006 6:09,11.07,1,8.72,-0.11
3/21/2006 6:09,11.07,1,8.62,-0.1
3/21/2006 6:09,11.07,1,8.51,-0.11
3/21/2006 6:09,11.07,1,8.41,-0.1
3/21/2006 6:09,11.07,1,8.3,-0.11
3/21/2006 6:09,11.07,1,8.2,-0.1
3/21/2006 6:09,11.07,1,8.09,-0.11
3/21/2006 6:09,11.07,1,7.99,-0.1
3/21/2006 6:09,11.07,1,7.88,-0.11
3/21/2006 6:09,11.07,1,7.78,-0.1
3/21/2006 6:09,11.07,1,7.67,-0.11
3/21/2006 6:09,11.07,1,7.57,-0.1
3/21/2006 6:09,11.07,1,7.46,-0.11
3/21/2006 6:09,11.07,1,7.36,-0.1
3/21/2006 6:09,11.07,1,7.25,-0.11
3/21/2006 6:09,11.07,1,7.15,-0.1
3/21/2006 6:09,11.07,1,7.04,-0.11
3/21/2006 6:09,11.07,1,6.94,-0.1
3/21/2006 6:09,11.07,1,6.83,-0.11
3/21/2006 6:09,11.07,1,6.73,-0.1
3/21/2006 6:09,11.07,1,6.62,-0.11
3/21/2006 6:09,11.07,1,6.51,-0.11
3/21/2006 6:09,11.07,1,6.41,-0.1
3/21/2006 6:09,11.07,1,6.3,-0.11
3/21/2006 6:09,11.07,1,6.2,-0.1
3/21/2006 6:09,11.07,1,6.09,-0.11
3/21/2006 6:09,11.07,1,5.99,-0.1
3/21/2006 6:09,11.07,1,5.88,-0.11
3/21/2006 6:09,11.07,1,5.78,-0.1
3/21/2006 6:09,11.07,1,5.67,-0.11
3/21/2006 6:09,11.07,1,5.57,-0.1
3/21/2006 6:09,11.07,1,5.46,-0.11
3/21/2006 6:09,11.07,1,5.36,-0.1
3/21/2006 6:09,11.07,1,5.25,-0.11
3/21/2006 6:09,11.07,1,5.15,-0.1
3/21/2006 6:09,11.07,1,5.04,-0.11
3/21/2006 6:09,11.07,1,4.94,-0.1
3/21/2006 6:09,11.07,1,4.83,-0.11
3/21/2006 6:09,11.07,1,4.73,-0.1
3/21/2006 6:09,11.07,1,4.62,-0.11
3/21/2006 6:09,11.07,1,4.52,-0.1
3/21/2006 6:10,11.07,1,4.41,-0.11
3/21/2006 6:10,11.07,1,4.31,-0.1
